F5	9606.ENSP00000354631
9606.ENSP00000352599
9606.ENSP00000272233
9606.ENSP00000289422
9606.ENSP00000337386
9606.ENSP00000332223
9606.ENSP00000356635
9606.ENSP00000365351
9606.ENSP00000277010
9606.ENSP00000263856
9606.ENSP00000295400
9606.ENSP00000347555
9606.ENSP00000369483
9606.ENSP00000270202
9606.ENSP00000275493
9606.ENSP00000342235
9606.ENSP00000271332
9606.ENSP00000309953
9606.ENSP00000299612
9606.ENSP00000348982
9606.ENSP00000307843
9606.ENSP00000251268
9606.ENSP00000331473
9606.ENSP00000363040
9606.ENSP00000281172
9606.ENSP00000347596
9606.ENSP00000312946
9606.ENSP00000253673
9606.ENSP00000222725
9606.ENSP00000310658
9606.ENSP00000346964
9606.ENSP00000359778
9606.ENSP00000370814
9606.ENSP00000276420
9606.ENSP00000274938
9606.ENSP00000372315
9606.ENSP00000331732
9606.ENSP00000317817
9606.ENSP00000352084
9606.ENSP00000356155
9606.ENSP00000217185
9606.ENSP00000265970
9606.ENSP00000272771
9606.ENSP00000334186
9606.ENSP00000262995
9606.ENSP00000264992
9606.ENSP00000269571
9606.ENSP00000364902
9606.ENSP00000341818
9606.ENSP00000240123
9606.ENSP00000237253
9606.ENSP00000367919
9606.ENSP00000312143
9606.ENSP00000230990
9606.ENSP00000267620
9606.ENSP00000268150
9606.ENSP00000354823
9606.ENSP00000364013
9606.ENSP00000373244
DBT9606.ENSP00000359151
-1.CID005288033
MYC9606.ENSP00000331152
9606.ENSP00000368933
9606.ENSP00000287394
9606.ENSP00000364885
9606.ENSP00000332706
9606.ENSP00000294904
9606.ENSP00000371407
9606.ENSP00000322016
9606.ENSP00000313362
9606.ENSP00000323184
9606.ENSP00000263239
9606.ENSP00000310831
9606.ENSP00000328251
9606.ENSP00000344823
9606.ENSP00000349503
9606.ENSP00000243346
9606.ENSP00000334188
9606.ENSP00000305259
9606.ENSP00000316114
9606.ENSP00000374186
9606.ENSP00000360060
9606.ENSP00000275523
9606.ENSP00000263046
9606.ENSP00000351745
9606.ENSP00000353197
9606.ENSP00000337889
9606.ENSP00000296597
9606.ENSP00000367207
9606.ENSP00000284165
9606.ENSP00000348578
9606.ENSP00000374586
9606.ENSP00000264010
9606.ENSP00000290341
9606.ENSP00000365572
9606.ENSP00000328004
9606.ENSP00000319977
9606.ENSP00000352925
9606.ENSP00000264670
9606.ENSP00000306968
9606.ENSP00000366746
9606.ENSP00000353622
9606.ENSP00000316779
9606.ENSP00000359803
9606.ENSP00000281043
9606.ENSP00000335376
9606.ENSP00000298728
9606.ENSP00000361529
9606.ENSP00000230431
9606.ENSP00000371352
9606.ENSP00000307720
9606.ENSP00000263904
9606.ENSP00000265872
9606.ENSP00000008391
9606.ENSP00000264444
9606.ENSP00000369131
9606.ENSP00000201031
9606.ENSP00000362332
9606.ENSP00000356214
9606.ENSP00000343396
9606.ENSP00000344742
9606.ENSP00000348523
9606.ENSP00000361857
-1.CID005281672
THH9606.ENSP00000357794
-1.CID000000146
LYZ9606.ENSP00000261267
SRM9606.ENSP00000217188
9606.ENSP00000366156
-1.CID011963784
PGD9606.ENSP00000360684
9606.ENSP00000303424
9606.ENSP00000366262
9606.ENSP00000358417
9606.ENSP00000295256
-1.CID000445112
SYP9606.ENSP00000263233
AHR9606.ENSP00000234701
9606.ENSP00000323816
9606.ENSP00000279146
9606.ENSP00000242057
-1.CID000000993
ZAK9606.ENSP00000304268
9606.ENSP00000364361
IL89606.ENSP00000008180
9606.ENSP00000346586
9606.ENSP00000287143
9606.ENSP00000258526
9606.ENSP00000306512
9606.ENSP00000311280
EPO9606.ENSP00000356076
9606.ENSP00000222139
9606.ENSP00000225371
9606.ENSP00000253050
9606.ENSP00000252723
9606.ENSP00000218388
-1.CID004474778
GH19606.ENSP00000333157
9606.ENSP00000312673
RHO9606.ENSP00000337560
9606.ENSP00000249014
9606.ENSP00000363921
9606.ENSP00000371897
9606.ENSP00000308461
9606.ENSP00000229606
9606.ENSP00000356992
9606.ENSP00000324820
9606.ENSP00000222792
9606.ENSP00000300901
9606.ENSP00000238738
9606.ENSP00000243967
9606.ENSP00000350018
9606.ENSP00000328115
9606.ENSP00000372420
9606.ENSP00000373950
9606.ENSP00000338258
9606.ENSP00000357177
9606.ENSP00000340297
9606.ENSP00000296731
9606.ENSP00000233330
9606.ENSP00000328118
9606.ENSP00000239440
9606.ENSP00000351132
9606.ENSP00000364886
9606.ENSP00000272233
9606.ENSP00000317985
9606.ENSP00000360672
9606.ENSP00000296271
9606.ENSP00000228945
9606.ENSP00000371417
9606.ENSP00000301200
9606.ENSP00000266482
9606.ENSP00000356142
9606.ENSP00000368321
9606.ENSP00000289968
9606.ENSP00000260283
9606.ENSP00000249601
9606.ENSP00000319831
9606.ENSP00000289013
9606.ENSP00000308576
9606.ENSP00000267205
9606.ENSP00000343325
9606.ENSP00000314032
9606.ENSP00000295497
9606.ENSP00000355283
9606.ENSP00000316729
9606.ENSP00000295381
9606.ENSP00000264042
9606.ENSP00000344446
